~id,~from,~to,~label
3317,PST-470-25MG,SOL-0795,reference
3324,PST-3900A1000,SOL-2720,reference
3331,0410105003,410105003,reference
3338,SVM-165-1,SOL-0226,reference
3345,G7536D,5190-4837,reference
3352,PST-3815M1000,SOL-3730,reference
3359,TFP-09-1,SOL-1482,reference
3366,AM-260-1,AGMTD_187,reference
3373,G5550-12494,G5550-18319,reference
3380,PST-2000-10MG,SOL-0909,reference
3387,US-360-1,AGMTD_65,reference
3394,PHM-100-1,SOL-1192,reference
3401,PST-3095K1000,SOL-1589,reference
3408,EPA-1105-1,SOL-0130,reference
3415,WRK-145E,SFLPK-007J,reference
3422,US-120AN-1,SOL-0425,reference
3429,AL4037,5181-3317,reference
3436,PST-1870-10MG,SPST-1870,reference
3443,TCLP-533-1,AGMTD_115,reference
3450,NAI-120-1,SOL-0180,reference
3457,190026417,5190-8406,reference
3471,D471-F-1,SOL-0105,reference
3478,PHM-557-1,AGMTHD_47,reference
3485,TPM-110-1,SOL-0369,reference
3492,ISM-333XC,SOL-0340,reference
3499,SCA-202-1,SOL-0941,reference
3506,0100-0160,12-0041-016,reference
3513,CP201954,5190-5262,reference
3520,SG092038,8004-0108,reference
3534,EPA-1212-1,AGMTD_187,reference
3541,ASTM-110-1,SOL-0654,reference
3548,ICP-424A,ISOL-0724A,reference
3555,A4004,0890-1761,reference
3562,RPC-099S,SRPC-099,reference
3569,DWM-534-1,SOL-0261,reference
3576,QCM-116,SOL-0061,reference
3583,PHM-624-1,AGMTHD_53,reference
3597,SG036110,5190-1482,reference
3604,TPM-105-1,SOL-4611,reference
3611,RHH-041,SRHH-041,reference
3618,NPI-TEST-PPM-145-1,SOL-0990,reference
3619,PP-294-1,AGMTD_115,reference
3626,PPM-145-1,SOL-0766,reference
3640,AX012664,AX012944,reference
3647,0101-0920,G1316-67005,reference
3654,HCM-546-1,SOL-0273,reference
3661,US-350-1,SOL-1026,reference
3668,5182-9665,5190-1502,reference
3675,US-112B-1,SOL-0880,reference
3682,TFP-37-1,SOL-1504,reference
3689,US-114-1,SOL-0295,reference
3696,PP-302-1,AGMTD_157,reference
3703,IST-342-1,AGMTHD_110,reference
3710,5067-4118,5067-4240,reference
3717,EPA-2043N-1,SOL-0080,reference
3724,ICP-051,AGMTD_107,reference
3731,5001-3726,5043-1711,reference
3738,SWA-330-1,SOL-0535,reference
3745,PST-1135-100MG,SOL-3810,reference
3752,PST-1770-10MG,SOL-0874,reference
3759,US-201A-1,SOL-0104,reference
3766,QCM-112,SOL-0256,reference
3773,DWM-536-1,SOL-0263,reference
3780,EPA-1030-1,SOL-0092,reference
3787,RPC-048S,SRPC-048,reference
3794,NAI-270-1,AGMTHD_117,reference
3801,NPI-TEST-HCM-605-1,SOL-0092,reference
3802,PST-5360-10MG,SOL-3065,reference
3809,SG001150,5190-1481,reference
3816,AM-210-1,AGMTD_180,reference
3823,PMX-165-1,SOL-0076,reference
3830,DWM-591A-1,SOL-0141,reference
3837,SNV-100-1,SPST-2340,reference
3844,THM-521-1,SOL-0076,reference
3851,SMA-310-1,SOL-0678,reference
3858,SVM-625-1,SOL-0535,reference
3865,WRK-151H,SWRK-151H,reference
3872,FLHC-014,SFLHC-014,reference
3879,PSM-250-1,SOL-0845,reference
3886,5182-3440,RMSN-2,reference
3893,HCM-601-1,SOL-0147,reference
3907,MV-V-391791400,391791400,reference
3921,USPM-467K-1,SOL-0137,reference
3928,TFP-10-1,SOL-2333,reference
3935,SVM-120A-1,SOL-0070,reference
3942,ADH-Z328,G2801-80300,reference
3949,PPM-115-1,SOL-0769,reference
3956,RPCM-240-1,SRPC-171,reference
3963,PHM-5521M-1,SOL-1055,reference
3970,TFP-20-1,SOL-0701,reference
3977,CR211108,8010-0304,reference
3984,HCM-801-1,SOL-0063,reference
3998,CLP-340-1,SOL-0238,reference
4005,SG092034,8004-0110,reference
4012,DWM-599-1,SOL-0259,reference
4019,CLP-311-1,AGMTD_170,reference
4026,PANAL0215-1,SOL-0346,reference
4033,CLP-410-1,SOL-0060,reference
4040,HM81075,5190-1508,reference
4047,DWM-645-1,SOL-0104,reference
4054,DWM-520-1,SOL-0260,reference
4061,HBM-555B-1,SOL-0245,reference
4068,EPA-1206-1,SOL-0007,reference
4075,STM-250N-1,SOL-0420,reference
4082,PST-2580-10MG,SOL-1564,reference
4089,HCM-570-1,SOL-0076,reference
4099,MISA-221-1,SOL-0845,reference
4106,RPC-116S,SRPC-116,reference
4113,CP8745,CP8745I,reference
4120,PST-2520A100A01,SOL-1066,reference
4127,HBM-525-1,SOL-0942,reference
4148,PSM-101-P,SPST-2560,reference
4155,RSC-100-1,SOL-1244,reference
4162,SCA-112-1,SOL-1234,reference
4169,QCI-717B,ISOL-2017A,reference
4190,PST-4040M1000,SOL-0835,reference
4197,PST-2690-10MG,SOL-0904,reference
4212,PANAL0221-5,AGMTD_35,reference
4219,PST-660,SOL-0702,reference
4226,PST-960M100A01,SOL-1088,reference
4240,NPI-TEST-HBM-420-1,SOL-0744,reference
4248,PPM-155-1,SOL-0769,reference
4255,ISM-565-1,SOL-0314,reference
4262,PM-006-34-1,SOL-0585,reference
4269,EPA-1053-1,SOL-0285,reference
4283,RBF-091S,SRBF-091,reference
4297,PST-1600A100A01,SOL-0959,reference
4304,HBM-400M-1,SOL-1019,reference
4311,QCM-501,SOL-0830,reference
4325,PP-300-1,AGMTD_115,reference
4332,PST-710,SOL-0962,reference
4360,NSM-805-1,SOL-0211,reference
4367,ICM-464,ISOL-3408A,reference
4374,PST-2280A100A01,SPST-2280,reference
4381,RGO-642-1,SOL-1103,reference
4389,RGO-250,AGMTD_192,reference
4396,TFP-03-1,SOL-2720,reference
4403,FRSP-180N,SOL-0905,reference
4410,SG031810,5190-1558,reference
4424,ICP-155-25,ISOL-5531A,reference
4466,ALD-8315-1,SOL-0008,reference
4473,PAH-630-1,SOL-0571,reference
4480,NSM-807-1,SOL-0213,reference
4487,PM-105-1,SOL-0590,reference
4494,8010-0057,5183-4442,reference
4515,US-107N-1,SOL-0070,reference
4522,NSM-800-1,SOL-0205,reference
4529,PPM-150-1,SOL-0988,reference
4536,PPM-808F-1,SOL-0175,reference
4543,RGO-230,AGMTD_192,reference
4557,PSM-101-D,SOL-0952,reference
4564,ICM-224,AGMTD_107,reference
4571,HCM-815-1,SOL-0261,reference
4578,RCP-052,SRCP-052,reference
