~id,product_item:String,product_line:String,product_desc:String,~label
5188-5347,310130,BZ,OFN NCI Checkout standard 100 fg/uL,product
G7000-80020,310160,BZ,"New-Vacuum pump RV5 115v, inland, new",product
G7002-60044,310110,BZ,"CC Gas Flow Module, 3-Channel",product
5190-6898,310100,BZ,OFN 2fg/uL in isooctane 3 x 1mL,product
G1680-63721,310090,BZ,Network LAN Switch,product
G6845-64000,310230,BZ,MassHunter User WrkSt SW QQQ GCMS ENG,product
G7004-64201,310120,BZ,7010B MS/MS EI/CI Mainframe,product
G6845-64002,310240,BZ,MassHunter Data Analysis for GC/MS ENG,product
G4600-64006,310260,BZ,GC And GC/MS User Manuals and Tools,product
8120-1378,310270,BZ,Power Cord C13 125V 10A 5-15P 498G US,product
H1141H,310310,74,Installation (44K),product
8120-6894,310280,BZ,"Power Cord, US 120V, C19, 20 amp",product
8120-6313,310290,BZ,"Power Cord, US, C7, 125V,2.5A, 1-15P Plg",product
UP_FRONT_SERVICE_H,310300,74,Up Front Support Services for Hardware,product
H1142H,310320,74,Familiarization at Installation (44L),product
G4600-64006,330020,AZ,GC And GC/MS User Manuals and Tools,product
UP_FRONT_SERVICE_H,360030,74,Up Front Support Services for Hardware,product
H1141A,360040,74,Installation (44K),product
G4514A,370000,AZ,"7693A Tray, 150 Vial",product
G4513-64000,360010,AZ,G4513A Injector (COO-CN),product
8121-0008,310040,BZ,"Cable, CAT5E STP/FTP 14ft-LG PVC White",product
G4513A,360000,AZ,7693A Autoinjector,product
H1142A,360050,74,Familiarization at Installation (44L),product
G3182-60581,353000,AA,UI Ultra Inert Union No Fittings,product
H1142H,350050,74,Familiarization at Installation (44L),product
H1141H,350040,74,Installation (44K),product
G4514-64000,370010,AZ,G4514A Tray (COO-CN),product
H1141A,370040,74,Installation (44K),product
H1142A,370050,74,Familiarization at Installation (44L),product
G4600-64006,360020,AZ,GC And GC/MS User Manuals and Tools,product
RMSN-2,310030,BZ,"Big Universal Trap, 1/8i fttgs, Nitrogen",product
UP_FRONT_SERVICE_H,350030,74,Up Front Support Services for Hardware,product
G2855-60150,352000,8P,Deans Switch Supplies and Spares Kit,product
G7000-60503,310020,BZ,7890 GCMS-QQQ Spacer/Tray,product
G7000-60582,310010,BZ,7000 CI MSD Ship Kit,product
G4600-64006,370020,AZ,GC And GC/MS User Manuals and Tools,product
UP_FRONT_SERVICE_H,370030,74,Up Front Support Services for Hardware,product
G7013BA,310000,BZ,7010B Quadrupole MS/MS EI/CI Bundle,product
G7003-60506,310070,BZ,MS 7890 Ship Kit,product
G1472-64002,350020,BZ,Rapid GC/MS Backflushing Kit B,product
G1472-64001,350010,BZ,Rapid GC/MS Backflushing Kit A,product
G1472A,350000,BZ,Universal GC/MS PCT Backflush Kit,product
H1142A,330160,74,Familiarization at Installation (44L),product
H1141A,330150,74,Installation (44K),product
KAFP250250S,2000,9H,"Adptr, Female, KF25 With 1/4in NPT, SST",product
FA0275NW40,1000,9H,"Adptr,2.75in NR CF To NW25KF,2.0in L,SS",product
5181-1273,1000,58,"Syringe, 5ul tapered, FN 23-26s/42/HP",product
693975-702,1000,BC,"Poroshell HPH-C18, 4.6x150mm, 2.7um",product
200519-5,1020,SR,-20 QUICKCHANGE 10 RXNS,product
200519-4,1010,SR,-80 10rxn Quikchange Parts,product
200519,1000,SR,"Kit,QuikChange Site-Directed 10 rxn",product
883975-902,1000,BC,SB-C18 Analytical HPLC Col 4.6 x 150,product
5182-0550,2000,58,Snap cap with red silicone septa  100/PK,product
5182-0544,1000,58,"Vial,snap,2ml,clear,100PK",product
9530001,1000,9H,TORR SEAL FSN 8030-998-3321,product
S169984-2,1000,PT,"TRS, conc x 10",product
0100-2264,1000,8P,"10-32, Male x 1/8inch Elbow",product
01018-22707,2000,AA,PTFE Frits 5PK,product
H1141H,1080,74,Installation (44K),product
M8380AA,3000,LI,OpenLAB CDS ChemStation Ed. PC Bundle,product
H1142H,1090,74,Familiarization at Installation (44L),product
G1680-64571,3010,LI,CPU Kit - PC w/M8301AA,product
G6678A,1000,AZ,"LTM Series II:1-channel,5-inch,1-power",product
G6578-64015,1010,AZ,"LTM Transfer Module, 5in. with Union Kit",product
G4600-64006,1020,AZ,GC And GC/MS User Manuals and Tools,product
UP_FRONT_SERVICE_H,1070,74,Up Front Support Services for Hardware,product
123-1334LTM,8000,JW,"DB-624 30m, 0.32mm, 1.80um, LTM",product
R26N091,7020,74,CrossLab Qualification IQ,product
G6578-60024,1030,AZ,Side Panel Assy,product
G6578-60115,1040,AZ,Power Supply for LTMII with Packaging,product
G6678-64010,1050,AZ,"LTMII 7890 Door, 1 x 5in. module",product
8120-1378,1060,AZ,Cable Assembly-Power Cord 18AWG 2.3m-LG,product
M8301-64000,3030,LI,OpenLAB CDS ChemStation Workstation,product
